; China eventmsg.txt																	   
;REASON PHRASES FOR AUTOMATICALLY TRIGGERED EVENTS

	;Provocation (HIGH BENEVOLENCE/HOSTILITY)
PHRASE_really_benevolent		"因为 [leader_name] 确实对您感到非常满意"
PHRASE_CONDENSED_famine_relief_relief_reminder_P 			"[city_name] 还在等待着您救济. 请在六个月内送去食物援助."
PHRASE_CONDENSED_famine_relief_relief_overdue_P 			"超过最终期限了! 迅速给 [city_name] 送去食物救济, 避免发生麻烦."
PHRASE_CONDENSED_famine_relief_relief_warning_P 			"还有六个月的时间给 [city_name] 准备渡过饥荒的食物."
PHRASE_CONDENSED_famine_relief_relief_early_reason_P	  		"由于您提前给 [city_name] 送去了救济食物,"
PHRASE_CONDENSED_famine_relief_relief_comply_reason_P  		"由于您及时给 [city_name] 送去了救济食物"
PHRASE_CONDENSED_famine_relief_relief_too_late_reason_P 	 	"由于您给发生饥荒的 [city_name] 送出食物救济的时间晚了"
PHRASE_CONDENSED_famine_relief_relief_refuse_reason_P	 		"由于您没有给发生饥荒的 [city_name] 送去食物救济"
PHRASE_CONDENSED_famine_relief_relief_no_reason_P			""

;*****General Request**********************************
PHRASE_general_request_title_S 				"[city_name] 需要 [itemshort]"
PHRASE_general_request_spy_report_S				"据一个可靠的密探报告, 您的同盟城市 [city_name] 的统治者 [leader_name] 今年会向您要求 [amount] [item]. 如果您现在就送出这种物品, 您这种预知未来的神奇能力会让 [leader_name] 害怕!"
PHRASE_general_request_initial_announcement_S		"您好, [player_name]. 我, [city_name] 的 [leader_name], 需要您在 [time_allotted] 个月内送来 [amount] [item]. 这样就能巩固咱们 两个城市之间的 同盟关系."
PHRASE_general_request_reminder_S 				"我觉得我应该温柔地提醒您一下, [player_name], 我仍然在等着您送 [amount] [item] 到我的城市 [city_name] 来. 请在六个月内送来那些物品."
PHRASE_general_request_overdue_S 				"[player_name], 请原谅我打扰您. 我好象还没有看到, 您这个值得我信任的同盟, 按我的要求将 [amount] [item] 送到我的城市 [city_name] 来. 是不是您那些不称职的官员 耽误了我的要求? 如果您现在送来我向您要求的物品, 我一定会报答您的."
PHRASE_general_request_warning_S 				"我已经开始怀疑 您到底是不是一个真正的盟友, [player_name]. 我, [city_name] 的 [leader_name], 还在等待您送来我向您要求的 [amount] [item]. 我的其它盟友认为 我这样等待不会有什么结果. 请您在六个月内送来那些东西, 否则 咱们的同盟关系 就会有破裂的危险."
PHRASE_general_request_early_reason_S	  		"由于您神奇预知, 提前送来了我需要的 [amount] [item],"
PHRASE_general_request_comply_reason_S  			"由于您按照我的要求 及时给我的城市送来了 [amount] [item],"
PHRASE_general_request_too_late_reason_S 	 		"由于您没有及时给我的城市送来 [amount] [item],"
PHRASE_general_request_refuse_reason_S	 		"由于您拒绝给我的城市送来 [amount] [item],"
PHRASE_general_request_no_reason_S				""

PHRASE_general_request_title_D 				"[city_name] 索要 [itemshort]"
PHRASE_general_request_spy_report_D				"听听这个报告, [player_name], 这是一个密探刚刚送来的. [city_name] 的统治者, 您的对手 [leader_name], 会在一年之内向您索要 [amount] [item]. 他们自己的生产能力 根本比不上您的城市, 而他却羞于向您启齿要求帮助."
PHRASE_general_request_initial_announcement_D		"[player_name], 您是一个富有的对手. 请在 [time_allotted] 个月内给我的城市 [city_name] 送来 [amount] [item]. 我是强大的 [leader_name], 如果我愿意, 我就能自己到您的城市去拿那些东西, 因此您最好自己把东西送给我."
PHRASE_general_request_reminder_D 				"您怎么回事, [player_name]? 您的脑子是不是出了什么毛病? 您是不是不明白自己没有选择? 我特此向您索要 [amount] [item], 请将这些东西送到我的城市 [city_name] 来. 在六个月内把东西送来, 我就会忘掉您那难受的表情."
PHRASE_general_request_overdue_D 				"我诅咒您, [player_name], 您是个脑子进水的傻瓜. 您没有按我的要求把 [amount] [item] 送到我的城市 [city_name] 来. 您很快就会知道忽视我 [leader_name] 这样伟大的领导者是不明智的. 如果您现在送来这些东西, 我会觉得您仅仅是速度慢, 但并不愚蠢."
PHRASE_general_request_warning_D 				"[player_name], 您这个魔鬼的化身, 您最好快点送来 [amount] [item]! 我可不会再等下去了!"
PHRASE_general_request_early_reason_D	  		"由于您提前给我的城市送来了 [amount] [item],"
PHRASE_general_request_comply_reason_D  			"由于您依照我的要求送来了 [amount] [item],"
PHRASE_general_request_too_late_reason_D 	 		"由于您非常晚才给我的城市送来 [amount] [item],"
PHRASE_general_request_refuse_reason_D	 		"由于您愚蠢地忽视了我的要求, 没有给我的城市送来 [amount] [item],"
PHRASE_general_request_no_reason_D				""

PHRASE_general_request_title_P 				"[city_name] 乞求 [itemshort]"
PHRASE_general_request_spy_report_P				"聪明的密探送来一个新消息, [player_name]. 在一年之内, 您的诸候城市 [city_name] 将会突然出现 [item] 短缺, 从而影响他们城市的发展. [city_name] 的 [leader_name] 会向您求助. 如果您现在就送给他们 [amount] [item], 就能帮他们避免陷入困境."
PHRASE_general_request_initial_announcement_P		"善良的 [player_name], 请帮助我渡过困境. 由于我们城中最近发生了一场火灾, 我, [city_name] 的 [leader_name], 现在需要 [item], 因此向您求助. 我们的城市 因为物资缺乏而陷入困难时期, 所以我求您在 [time_allotted] 个月内送来 [amount] [item], 帮我们减轻负担."
PHRASE_general_request_reminder_P 				"您一定是非常忙, [player_name]. 不然还有什么原因 让您至今还没给我的城市 [city_name] 送来 [amount] [item] 呢? 我, [leader_name], 只能依靠您的慈悲了. 请在六个月内送来我需要的东西."
PHRASE_general_request_overdue_P 				"难道我们对您的依赖是您的烦恼吗, 最尊贵的 [player_name]? 您是不是想给我点教训? 我, [leader_name], 是那么谦恭地向您提出请求, 可是为什么您还没有送来 [amount] [item]? 我的城市 [city_name] 正在受难! 不管怎样, 请求您送东西来吧. 我们依然需要它."
PHRASE_general_request_warning_P 				"我一直在等待您的帮助, 您的另一个诸候城市也听说了此事, [player_name]. 我无法相信您真的会在我的城市 [city_name] 需要您的时候忘记了我们! 我不相信您会这样傲慢地对待我. 无论如何, 如果您送来 [amount] [item], 我会真心原谅您对我的慢怠."
PHRASE_general_request_early_reason_P	  		"由于您神奇预知, 提前送来了我需要的 [amount] [item],"
PHRASE_general_request_comply_reason_P  			"由于您是一位和善的主人, 及时给我的城市送来了 [amount] [item],"
PHRASE_general_request_too_late_reason_P 	 		"由于您很晚才给我的城市送来 [amount] [item],"
PHRASE_general_request_refuse_reason_P	 		"由于您残酷地漠视我的恳求, 拒绝送来 [amount] [item],"
PHRASE_general_request_no_reason_P				""

PHRASE_CONDENSED_general_request_title_S 				"N/A"
PHRASE_CONDENSED_general_request_spy_report_S			"密探报告 [city_name] 将会需要 [amount] [item]."
PHRASE_CONDENSED_general_request_initial_announcement_S	"[city_name] 需要 [amount] [item], 在 [time_allotted] 个月内送去 对我们是有利的."
PHRASE_CONDENSED_general_request_reminder_S 			"六个月内给 [city_name] 送去 [amount] [item]."
PHRASE_CONDENSED_general_request_overdue_S 			"超过最终期限了! 不过, 晚给 [city_name] 送去东西总比根本不送要好."
PHRASE_CONDENSED_general_request_warning_S 			"六个月内给 [city_name] 送去 [amount] [item]."
PHRASE_CONDENSED_general_request_early_reason_S	  		"由于您提前送去了 [amount] [item]"
PHRASE_CONDENSED_general_request_comply_reason_S  		"由于您及时送去了 [amount] [item]"
PHRASE_CONDENSED_general_request_too_late_reason_S 	 	"由于您太晚才送去 [amount] [item]"
PHRASE_CONDENSED_general_request_refuse_reason_S	 	"由于您没有送去 [amount] [item]"
PHRASE_CONDENSED_general_request_no_reason_S			""

PHRASE_CONDENSED_general_request_title_D 					"N/A"
PHRASE_CONDENSED_general_request_spy_report_D			"密探报告 [city_name] 将会需要 [amount] [item]."
PHRASE_CONDENSED_general_request_initial_announcement_D	"[city_name] 需要 [amount] [item], 在 [time_allotted] 个月内送去 对我们是有利的."
PHRASE_CONDENSED_general_request_reminder_D 			"六个月内给 [city_name] 送去 [amount] [item]."
PHRASE_CONDENSED_general_request_overdue_D 			"超过最终期限了! 不过, 晚给 [city_name] 送去东西总比根本不送要好."
PHRASE_CONDENSED_general_request_warning_D 			"六个月内给 [city_name] 送去 [amount] [item]."
PHRASE_CONDENSED_general_request_early_reason_D	  		"由于您提前送去了 [amount] [item]"
PHRASE_CONDENSED_general_request_comply_reason_D  		"由于您及时送去了 [amount] [item]"
PHRASE_CONDENSED_general_request_too_late_reason_D 	 	"由于您太晚才送去 [amount] [item]"
PHRASE_CONDENSED_general_request_refuse_reason_D	 	"由于您没有送去 [amount] [item]"
PHRASE_CONDENSED_general_request_no_reason_D			""

PHRASE_CONDENSED_general_request_title_P 				"N/A"
PHRASE_CONDENSED_general_request_spy_report_P			"密探报告 [city_name] 将会需要 [amount] [item]."
PHRASE_CONDENSED_general_request_initial_announcement_P	"[city_name] 需要 [amount] [item], 在 [time_allotted] 个月内送去 对我们是有利的."
PHRASE_CONDENSED_general_request_reminder_P 			"六个月内给 [city_name] 送去 [amount] [item]."
PHRASE_CONDENSED_general_request_overdue_P 			"超过最终期限了! 不过, 晚给 [city_name] 送去东西总比根本不送要好."
PHRASE_CONDENSED_general_request_warning_P 			"六个月内给 [city_name] 送去 [amount] [item]."
PHRASE_CONDENSED_general_request_early_reason_P	  		"由于您提前送去了 [amount] [item]"
PHRASE_CONDENSED_general_request_comply_reason_P  		"由于您及时送去了 [amount] [item]"
PHRASE_CONDENSED_general_request_too_late_reason_P 	 	"由于您太晚才送去 [amount] [item]"
PHRASE_CONDENSED_general_request_refuse_reason_P	 	"由于您没有送去 [amount] [item]"
PHRASE_CONDENSED_general_request_no_reason_P			""


;******Building Project*********************************************************
PHRASE_building_project_title_S 				"[city_name] 需要 [itemshort]"
PHRASE_building_project_spy_report_S			"最高贵的 [player_name]! 一个密探报告说 [city_name] 的统治者 [leader_name] 陷入了困境. 一座曾经象征皇权的宫殿, 倒塌成为一片废墟. [leader_name] 将向您要求 [amount] [item] 用于修复损坏的建筑物. 如果您现在就送出那些物资, 您的盟友会惊异于您的先知先觉."
PHRASE_building_project_initial_announcement_S		"高贵的 [player_name], 我, [city_name] 的 [leader_name], 现在希望得到您的帮助. 我城市里的一座宫殿倒塌成为一片废墟, 我需要 [amount] [item] 才能修复它. 请您在 [time_allotted] 个月内送给我 [itemshort], 那样我们就能修复倒塌的建筑物了."
PHRASE_building_project_reminder_S 				"亲爱的 [player_name], [city_name] 城里的一座宫殿现在倒塌了, 只有您送来 [amount] [item] 我才能修复它. 请您在六个月内送给我物资."
PHRASE_building_project_overdue_S 				"我, [city_name] 的 [leader_name], 已经快发狂了, [player_name]. 宫殿依然是一片废墟, 这都是因为您迟迟没有给我送来 [amount] [item]. 如果您现在送来我需要的物资, 我就能继续开工建造完成."
PHRASE_building_project_warning_S 				"我, [leader_name], 看着我 [city_name] 城内的储备物资 只能苦笑, 而且我认为这一切都要怪您! 您没有送来我要用于修复宫殿的 [amount] [item], 现在宫殿还是一片废墟, 它使我成为人们的笑柄. 建筑工人都要回家了. 如果您现在送来 [amount] [item], 也许我还能说服工人们留下, 继续完成这个工程."
PHRASE_building_project_early_reason_S	  		"由于您提前送来了我需要的 [amount] [item],"
PHRASE_building_project_comply_reason_S  	        "由于您及时送来了我需要的 [amount] [item],"
PHRASE_building_project_too_late_reason_S 	 	"由于您很晚才送来我需要的 [amount] [item],"
PHRASE_building_project_refuse_reason_S	 		"由于您不理睬我要求的 [amount] [item],"
PHRASE_building_project_no_reason_S				""

PHRASE_building_project_title_D 				"[city_name] 索要 [itemshort]"
PHRASE_building_project_spy_report_D			"我的主人, 最近的密探报告中提到: [city_name] 有一条有趣的消息. 那个城市的领导者 [leader_name] 将要建造一座巨大的建筑物, 要您送去 [amount] [item] 才能完成那项工程. 如果您想获得对手的好感, 就在一年之内送去那些物资."
PHRASE_building_project_initial_announcement_D		"看起来您过得不错啊, [player_name]. 尽管您只是一只微不足道的蚊虫, 不过对我也是有用的. 我需要 [amount] [item] 用于在我的 [city_name] 城内建造一座大型建筑物. 在 [time_allotted] 个月内把东西给我送来, 那样您在我的眼中 就会变成比蚊子稍微大些的飞蝇了."
PHRASE_building_project_reminder_D 				"您的小脑袋里到底有没有智慧, [player_name]? 我 [city_name] 城需要的 [amount] [item] 物资在哪儿呢? 您忘了吗, 您这个乡下佬? 六个月内把东西给我送来, 不然您就有麻烦了!"
PHRASE_building_project_overdue_D 				"我真感到震惊, [player_name]. 您不知道我是谁, 是吗? 我是 [leader_name], [city_name] 的伟大领导者! 您怎么敢忽视我的要求, 至今还不送来 [amount] [item]? 由于您没有送来我需要的物资, 我 [city_name] 城的建造工程还未完工! 现在就送来 [item] 吧, 那样至少我还能完成工程."
PHRASE_building_project_warning_D 				"[player_name], 你这个笨蛋, 你居然敢蔑视我! 我需要 [amount] [item] 在 [city_name] 城建造建筑, 现在就要! 快给我送来. 你明白了吗?"
PHRASE_building_project_early_reason_D	  		"由于您猜到了我的想法, 提前送来了我的建筑工程需要的 [amount] [item],"
PHRASE_building_project_comply_reason_D  			"由于您顺从地送来了我的建筑工程需要的 [amount] [item],"
PHRASE_building_project_too_late_reason_D 	 	"由于您很迟才送来我需要的建筑物资 [amount] [item],"
PHRASE_building_project_refuse_reason_D	 		"由于您拒绝送来我要求的 [amount] [item], 耽误了我的建筑工程,"
PHRASE_building_project_no_reason_D				""

PHRASE_building_project_title_P 				"[city_name] 想要 [itemshort]"
PHRASE_building_project_spy_report_P			"密探报告, 我的主人. 好象您的诸候 [city_name] 的 [leader_name] 要建造一座大型建筑物. 看来那项工程的预算很高, 估计 [leader_name] 会需要 [amount] 或更多的 [item] 才能完成它. 如果您在一年内送去这些物资, 就能帮 [leader_name] 摆脱困境."
PHRASE_building_project_initial_announcement_P		"最聪明仁慈的 [player_name], 我, [leader_name], 惭愧地要求您的帮助. 我在 [city_name] 开始了一项大工程, 可是因预计不足, 还缺少 [amount] [item]. 现在, 我没办法完成这项工程. 如果您在 [time_allotted] 个月内送来 [amount] [item], 我就把这项工程奉献给您的祖先!"
PHRASE_building_project_reminder_P 				"哦, 伟大的 [player_name], 我, [leader_name], 觉得有点忧虑. 我们的 [item] 快没有了, 如果想完成 [city_name] 的大工程, 全靠您支持 [amount] [item] 了. 如果有一座未完成的建筑物 留在城中破坏环境, 我担心我的人民 会有什么样反应. 求您了, 发发慈悲, 在六个月内把我需要的物资送来吧."
PHRASE_building_project_overdue_P 				"我太悲哀了, [player_name], 真的很悲哀! 我的人民觉得我这个 [city_name] 的领导者 [leader_name] 是一个傻瓜, 还有人说要粗暴地把我赶下台. 所有这一切 都是因为您没有送来我需要的 [amount] [item]. 也许您现在送来物资, 我就可以继续完成工程, 从而挽回一部分人民对我的尊重."
PHRASE_building_project_warning_P 				"难道您不能帮助我吗, [player_name]? 我 [city_name] 城的人民 已经开始做一些无法形容的事情 来诋毁我! 他们说要把我 [leader_name] 赶出城市! 我求您了, 求您送来 [amount] [item] 让我完成我的建筑工程吧!"
PHRASE_building_project_early_reason_P	  		"由于您在我意识到自己的需要前 就给我的建筑工程送来了 [amount] [item],"
PHRASE_building_project_comply_reason_P  			"由于您好心地给我的建筑工程送来需要的 [amount] [item],"
PHRASE_building_project_too_late_reason_P 	 	"由于您太晚才给我的建筑工程送来需要的 [amount] [item],"
PHRASE_building_project_refuse_reason_P	 		"由于您不理睬我的乞求, 没有送来 [amount] [item] 帮我完成建筑工程,"
PHRASE_building_project_no_reason_P				""

PHRASE_CONDENSED_building_project_title_S 			"N/A"
PHRASE_CONDENSED_building_project_spy_report_S			"密探报告说 [city_name] 将需要 [amount] [item] 用于完成一项建筑工程."
PHRASE_CONDENSED_building_project_initial_announcement_S	"[city_name] 需要 [amount] [item] 用于完成一项建筑工程."
PHRASE_CONDENSED_building_project_reminder_S 			"六个月内给 [city_name] 送去 [amount] [item] 用于完成一项建筑工程."
PHRASE_CONDENSED_building_project_overdue_S 			"超过最终期限了! 不过, 晚给 [city_name] 送去 [amount] [item] 总比根本不送要好."
PHRASE_CONDENSED_building_project_warning_S 			"六个月内给 [city_name] 送去 [amount] [item]."
PHRASE_CONDENSED_building_project_early_reason_S	  	"由于您提前送去了 [amount] [item]"
PHRASE_CONDENSED_building_project_comply_reason_S  		"由于及时您送去了 [amount] [item]"
PHRASE_CONDENSED_building_project_too_late_reason_S 	 	"由于您太晚才送去 [amount] [item]"
PHRASE_CONDENSED_building_project_refuse_reason_S	 	"由于您没有送去 [amount] [item]"
PHRASE_CONDENSED_building_project_no_reason_S			""

PHRASE_CONDENSED_building_project_title_D 			"N/A"
PHRASE_CONDENSED_building_project_spy_report_D			"密探报告说 [city_name] 将向您索要 [amount] [item]."
PHRASE_CONDENSED_building_project_initial_announcement_D	"[city_name] 索要 [amount] [item] 用于完成一项建筑工程."
PHRASE_CONDENSED_building_project_reminder_D 			"六个月内给 [city_name] 送去 [amount] [item] 对我们是有利的."
PHRASE_CONDENSED_building_project_overdue_D 			"超过最终期限了! 不过, 晚给 [city_name] 送去物资总比根本不送要好."
PHRASE_CONDENSED_building_project_warning_D 			"六个月内给 [city_name] 送去 [amount] [item]."
PHRASE_CONDENSED_building_project_early_reason_D	  	"由于您提前送去了 [amount] [item]"
PHRASE_CONDENSED_building_project_comply_reason_D  		"由于您及时送去了 [amount] [item]"
PHRASE_CONDENSED_building_project_too_late_reason_D 	 	"由于您太晚才送去 [amount] [item]"
PHRASE_CONDENSED_building_project_refuse_reason_D	 	"由于您没有送去 [amount] [item]"
PHRASE_CONDENSED_building_project_no_reason_D			""

PHRASE_CONDENSED_building_project_title_P 			"N/A"
PHRASE_CONDENSED_building_project_spy_report_P			"密探报告说 [city_name] 将需要物资用于建造一项工程."
PHRASE_CONDENSED_building_project_initial_announcement_P	"[city_name] 希望您送去 [amount] [item] 用于建造工程."
PHRASE_CONDENSED_building_project_reminder_P 			"六个月内给 [city_name] 送去 [amount] [item]."
